Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD;Enlace Google Maps;Responsable de la Agencia;Teléfono de Contacto;Observaciones
1;Zona 2;NAPO;TENA;TENA;AV. CHONTAYACU, GABRIEL ESPINOZA Y FAUSTO CASTELO;-1.006998;-77.813085;https://www.google.com/maps/place/1%C2%B000'26.1%22S+77%C2%B048'47.2%22W/@-1.0072502,-77.8156709,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-1.0072502!4d-77.813096?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
2;Zona 2;NAPO;EL CHACO;EL CHACO;BARRIO BELLAVISTA, CALLES: LOS CEDROS Y LOS CANELOS;-0.340438;-77.814734;https://www.google.com/maps/place/0%C2%B020'26.4%22S+77%C2%B048'53.1%22W/@-0.3406578,-77.8173197,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-0.3406578!4d-77.8147448?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
3;Zona 2;ORELLANA;FRANCISCO DE ORELLANA;ORELLANA (COCA);CALLE QUITO, ENTRE POMPEYA Y PRIMAVERA;-0.455702;-76.993172;https://www.google.com/maps/place/0%C2%B027'21.2%22S+76%C2%B059'35.4%22W/@-0.4558896,-76.9957466,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-0.4558896!4d-76.9931717?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
4;Zona 2;ORELLANA;LA JOYA DE LOS SACHAS;JOYA DE LOS SACHAS;BARRIO LUZ DE AMÉRICA CALLE MISIÓN CAPUCHINA Y SILVIO RAMÍREZ;-0.291644;-76.854078;https://www.google.com/maps/place/0%C2%B017'30.9%22S+76%C2%B051'14.6%22W/@-0.2919066,-76.8566426,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-0.2919066!4d-76.8540677?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
5;Zona 2;ORELLANA;LORETO;LORETO;CALLE MATEO PURAQUILLA Y CLOTARIO VARGAS JUNTO AL PARQUE CENTRAL;-0.691615;-77.309354;https://www.google.com/maps/place/0%C2%B041'30.7%22S+77%C2%B018'33.7%22W/@-0.6918667,-77.3119392,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-0.6918667!4d-77.3093643?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
6;Zona 2;ORELLANA;AGUARICO;AGUARICO;CALLE FCO DE ORELLANA Y VICTOR DÁVALOS, TRAS LA CAPITANÍA, EN LAS INSTALACIONES DEL MINISTERIO DEL INTERIOR;-0.921013;-75.399106;https://www.google.com/maps/place/0%C2%B055'15.8%22S+75%C2%B023'56.8%22W/@-0.9210577,-75.3997447,257m/data=!3m1!1e3!4m4!3m3!8m2!3d-0.921059!4d-75.399101?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
7;Zona 2;PASTAZA;PASTAZA;PUYO;CIUDADELA DEL CHÓFER, ÁLVARO VALLADARES Y CHIMBORAZO;-1.480853;-78.006381;https://www.google.com/maps/place/1%C2%B028'51.9%22S+78%C2%B000'23.0%22W/@-1.4810837,-78.0089559,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-1.4810837!4d-78.006381?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
8;Zona 2;PASTAZA;ARAJUNO;ARAJUNO;AV. CURARAY, BARRIO MORETAL  COLISEO DE ARAJUNO ;-1.233186;-77.682156;https://www.google.com/maps/place/Registro+civil+arajuno/@-1.2336324,-77.6826231,257m/data=!3m1!1e3!4m12!1m5!3m4!2zMcKwMTQnMDEuMyJTIDc3wrA0MCc1NS41Ilc!8m2!3d-1.233682!4d-77.682092!3m5!1s0x91d14d001d1fa9d3:0x93c6e4ebab7bf11d!8m2!3d-1.2332465!4d-77.6821536!16s%2Fg%2F11lmkdjw4h?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
9;Zona 2;PASTAZA;SANTA CLARA;SANTA CLARA;AV. DOS DE ENERO ,EDIFICIO DEL MINISTERIO DEL INTERIOR FRENTE AL COLISEO MUNICIPAL DR. RIGOBERTO REYES ;-1.265683;-77.888977;https://www.google.com/maps/place/Registro+Civil+Santa+Clara/@-1.2658508,-77.8889587,129m/data=!3m1!1e3!4m6!3m5!1s0x91d157004c072739:0xcfe18b6b1f8109f2!8m2!3d-1.2657029!4d-77.8890092!16s%2Fg%2F11y7b2js80?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
10;Zona 2;SUCUMBIOS;LAGO AGRIO;LAGO AGRIO;BARRIO GUSTAVO ANDRADE CALLES LA PINTA E ISLA FLOREANA;0.078383;-76.892731;https://www.google.com/maps/place/0%C2%B004'41.3%22N+76%C2%B053'33.6%22W/@0.0781412,-76.8952522,17z/data=!3m1!4b1!4m4!3m3!8m2!3d0.0781412!4d-76.8926773?hl=es&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;;;
